Dataset / Benchmark,Year,Primary Task,Secondary Task / Variant,Scientific Domain,Modality,Interaction Setting,Resource Type,Scale,Reasoning Capability,Reasoning Representation,Supervision Level,Reasoning Producer,Construction & Grounding,General Validation,Reasoning Human-Checked?,Reasoning Human-Check Details,Errors Included?,Error Origin,Error Granularity,Error Labels / Taxonomy,Errors Human-Checked?,Error Human-Check Details,Best-Supported Use,Key Limitation,Paper / Project URL,Dataset URL,Inclusion Status,Evidence Confidence
MedThink R-SLAKE,2025,Question answering,Multimodal diagnostic reasoning,Clinical medicine,Image + text,Static,Benchmark and training dataset,To verify,Diagnostic reasoning,Natural-language rationale,R2,LLM / hybrid (verify),Rationales added to SLAKE-style data,To code,Yes,MLLM-generated rationales were produced in a semi-automated pipeline and paired with human-annotated QA data; humans review/annotate the resulting rationale data.,No,N/A,N/A,N/A,N/A,N/A,Medical multimodal rationale generation,Generated-rationale quality and provenance need verification,,,Likely include,High
ReasonMed,2025,Question answering,Medical reasoning training,Clinical medicine,Text,Static,Training dataset,370K selected from 1.75M generated reasoning paths,Knowledge-intensive medical reasoning,Detailed chain-of-thought + answer summary,R2/R5,Multiple LLM agents,Complementary LLMs generate paths; verifier and Error Refiner filter and correct them.,Automated multi-agent verification and refinement,No systematic human checking reported,Quality control is primarily model-based; human verification is not stated as the main pipeline.,"Yes, during construction",LLM-generated errors detected by a verifier,Error-prone step / reasoning-path level,Verifier-identified error-prone steps; corrections,No / not reported,Errors are identified and repaired by model agents rather than expert annotators.,Large-scale medical reasoning post-training,Model-based verification can preserve plausible but clinically incorrect reasoning.,https://aclanthology.org/2025.emnlp-main.1344/,https://github.com/YuSun-Work/ReasonMed,Include,High
MegaScience,2026,Question answering,Training collection,Multidisciplinary science,Text,Static,Training dataset / collection,"~1,253,230 instances",Broad scientific reasoning,Mixed step-by-step solutions,R2/R3,Mixed,Aggregates curated scientific reasoning resources,To code,Mixed / subset-dependent,Aggregates source-derived and generated reasoning; validation varies across component datasets.,Mixed,Inherited from component datasets,Varies,Varies,Varies,Must be coded at component-dataset level.,Large-scale post-training,Heterogeneous provenance and annotation quality,,https://huggingface.co/datasets/MegaScience/MegaScience,Training resource only,Medium
SciVQR,2026,Question answering,Multimodal problem solving,Multidisciplinary science,Image + text,Static,Evaluation benchmark,"3,254 questions; 54 subfields",Multimodal scientific reasoning,Expert solution / explanation,R2,Experts,"Questions grounded in equations, diagrams, plots, and visualizations",Expert curation; details to code,Yes,46% of questions include expert-authored solutions.,No,N/A,N/A,N/A,N/A,N/A,Advanced multimodal scientific reasoning,Need to distinguish worked solutions from process-faithful traces,https://aclanthology.org/2026.findings-acl.28/,,Include,High
SymPyBench,2026,Question answering,Executable physics problem solving,Physics,Text + code,Executable,Benchmark and training dataset,15K parameterized physics problems,Symbolic and numerical reasoning,Structured steps + executable Python,R3/R4,Programmatic synthetic generation,Parameterized problems include structured reasoning and executable SymPy/Python ground truth.,Automatic execution and consistency checks,No / not reported,Correctness is guaranteed primarily by executable generation rather than human review.,No labeled incorrect traces,N/A,N/A,N/A,N/A,N/A,"Dynamic, contamination-resistant scientific reasoning evaluation",Synthetic templates may not capture the diversity of authentic scientific problem solving.,https://aclanthology.org/2026.eacl-industry.8/,,Include,High
TextbookReasoning,2026,Question answering,Training resource,Seven scientific disciplines,Text,Static,Training dataset,"~651,840 questions",Broad scientific reasoning,Step-by-step solutions,R2,Derived / LLM-assisted (verify),Derived from university-level scientific textbooks,To code,Source-derived / filtered,Reference answers are extracted from university-level textbooks; generation/filtering details should be coded from the release paper.,No,N/A,N/A,N/A,N/A,N/A,Large-scale scientific reasoning training,"Potential licensing, provenance, and generated-solution concerns",,https://huggingface.co/datasets/MegaScience/TextbookReasoning,Training resource only,Medium
CGBench,2025,Scientific literature comprehension,Clinical genetics evidence interpretation,Clinical genetics,Text,Static,Evaluation benchmark,Built from ClinGen expert-curated literature interpretations (scale to verify),"Evidence extraction, strength assessment, and outcome interpretation",Human explanation / evidence interpretation,R2/R3,Clinical genetics experts via ClinGen,Transforms expert-curated ClinGen literature interpretations into benchmark tasks.,Expert-curated source annotations,Yes,Human explanations originate from ClinGen expert curation.,"Yes, model hallucination/misinterpretation analyzed",Naturally generated model errors,Response / evidence-interpretation level,"Hallucination, misinterpretation, evidence-strength errors",Human reference yes; model-error labels partly automated,Reference explanations are expert-authored; model explanation comparisons use an LM judge.,Precise scientific-paper interpretation in clinical genetics,Some explanation evaluation relies on an LM judge rather than direct expert scoring.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/19138f8392f7863f483e90e1c2819fc9-Abstract-Datasets_and_Benchmarks_Track.html,,Include,High
SciMDR,2026,Scientific literature comprehension,Multimodal document QA,Multidisciplinary scientific literature,Text + figures/tables,Static,Training dataset + expert evaluation benchmark,300K QA pairs across 20K papers,Cross-modal document reasoning,Explicit reasoning chain,R2/R3,LLM synthesis + programmatic regrounding; experts for evaluation set,"Claim-centric QA and reasoning are synthesized, then regrounded into full papers.",Expert-annotated SciMDR-Eval; programmatic grounding checks,Partial,Training reasoning is synthetic/regrounded; the evaluation benchmark is expert-annotated.,No dedicated error labels,N/A,N/A,N/A,N/A,N/A,Training and evaluating multimodal scientific-document reasoning,Synthetic chains may be faithful to selected evidence without reflecting natural scientific reasoning.,https://aclanthology.org/2026.acl-long.2070/,,Include,High
SciGen,2021,Scientific data-to-text generation,Reasoning-aware table description,Multidisciplinary scientific literature,Table + text,Static,Benchmark and training dataset,1.3K challenge examples + automatically extracted training data (verify),Arithmetic and comparative reasoning,Scientific table description grounded in numerical relations,R2,Scientific-paper authors + automatic extraction,Pairs scientific tables with descriptions from papers; adds automatically extracted unsupervised training data.,Dataset filtering and challenge-set curation,Source-derived / partial,"Descriptions were written by scientific-paper authors; challenge-set quality was curated, but there is no separate process-trace validation.",No,N/A,N/A,N/A,N/A,N/A,Reasoning-aware generation from scientific tables,Paper descriptions may omit intermediate reasoning and reflect publication-writing conventions.,https://openreview.net/forum?id=Jul-uX7EV_I,,Include,High
SciFact,2020,Claim verification,Evidence identification,Biomedical science,Text,Static,Evaluation benchmark,"1,409 claims (verify)",Evidence synthesis / verification,Evidence sentences + rationale relation,R1,Expert annotators,Claims paired with supporting or refuting evidence from abstracts,Expert annotation,Yes,"Scientific claims, evidence sentences, and labels were annotated and adjudicated by domain-informed human annotators.",No explicit incorrect trace,N/A,Claim/evidence label,Support / Refute / No evidence,Yes,"Human annotation and adjudication cover verdicts and evidence, not stepwise reasoning errors.",Scientific claim verification with evidence,Evidence annotations are not full reasoning traces,https://arxiv.org/abs/2004.14974,,Include,High
COVID-Fact,2022,Claim verification,Evidence identification,Biomedical / public health,Text,Static,Evaluation benchmark,To verify,Evidence synthesis / verification,Evidence,R1,,,,Yes / human-annotated,Evidence and fact-verification labels were human-annotated; exact annotator expertise should be verified.,No explicit incorrect trace,N/A,Claim-level,Fact-verification label,Yes / partial,"Human-checked labels, not stepwise reasoning errors.",Domain-specific fact verification,May lack explicit explanation beyond evidence,,,Borderline,Medium
SciTab-Rationale,2023,Claim verification,Rationale generation,Scientific literature,Table + text,Static,Evaluation benchmark,To verify,Evidence synthesis,Cell rationale / explanation,R2/R3,,,,Yes,Annotators re-verified claim labels and selected the minimal table cells needed to justify each decision.,Ambiguous cases only,Naturally ambiguous table/claim alignments,Cell-level rationale,Minimal evidence cells + ambiguity taxonomy,Yes,Human annotators checked verdicts and cell-level rationales.,Rationale-grounded table verification,Exact release and naming require verification,,,Likely include,High
ClimateViz,2025,Claim verification,Statistical reasoning over scientific charts,Climate science,Chart + text,Static,Evaluation benchmark,"49,862 claims; 2,896 scientific visualizations","Statistical, temporal, spatial, and causal reasoning",Structured knowledge-graph explanation,R3,Expert-curated sources + structured construction,Claims are paired with real expert-curated climate charts; structured graph explanations encode chart relations.,Expert curation; human performance reported,Partial / yes,Charts and verification examples are expert-curated; exact per-explanation human verification should be checked in the paper.,"Yes, refuted and insufficient claims",Constructed claim alternatives / chart mismatch,Claim and graph-relation level,"Support / Refute / NEI; statistical, temporal, spatial, causal relations",Yes / partial,Human labels are reported; verify whether every structured explanation was manually checked.,Interpretable scientific fact verification over charts,Knowledge graphs may encode a normative explanation rather than a model-faithful process.,https://aclanthology.org/2025.emnlp-main.1196/,,Include,High
WorldTree,2018,Explanation or proof generation,Question answering,General / elementary science,Text,Static,Evaluation benchmark,To verify,Deduction / evidence synthesis,Explanation graph,R3,Dataset authors / experts,Human-constructed explanations grounded in a science fact bank,Human review; details to code,Yes,Explanation graphs were built and reviewed by dataset authors/annotators over a curated fact table.,No,N/A,N/A,N/A,N/A,N/A,Structured explanation retrieval and generation,Provenance of newly authored facts may be incomplete,https://arxiv.org/abs/1802.03052,,Include,Medium
WorldTree V2,2020,Explanation or proof generation,Question answering,General / elementary science,Text,Static,Evaluation benchmark,To verify,Deduction / evidence synthesis,Explanation graph,R3,Dataset authors / experts,Expanded explanation graph resource,To code,Yes,Expanded human-built explanation graphs with iterative review and consolidation.,No,N/A,N/A,N/A,N/A,N/A,Structured explanation retrieval and generation,Construction details require close review,https://aclanthology.org/2020.lrec-1.671/,,Include,Medium
eOBQA,2020,Explanation or proof generation,Question answering,General / elementary science,Text,Static,Evaluation benchmark,To verify,Evidence synthesis,Natural-language explanation,R2,Human annotators,Explanation annotations added to OpenBookQA,To code,Yes,Human-written natural-language explanations were collected for OpenBookQA questions.,Possible contrastive/incorrect options,Answer-option explanations,Whole explanation / option,Correctness or explanatory adequacy,Yes / partial,Human annotations support the explanations; exact error-specific checking should be verified.,Explanation generation,Derived from an existing benchmark,https://arxiv.org/abs/2010.03274,,Include,Medium
eQASC,2020,Explanation or proof generation,Question answering,General / elementary science,Text,Static,Evaluation benchmark,To verify,Multi-hop reasoning,Annotated reasoning chain,R2/R3,Human annotators,Explanations built for QASC instances,To code,Yes,Human annotators wrote/validated explanations for QASC instances.,"Yes, in companion perturbed set",Synthetic perturbations of valid chains,Whole chain / fact component,Valid vs. perturbed explanation,Yes / partial,Original explanations are human-annotated; perturbation validation details should be checked.,Explanation-quality and robustness studies,Derived from an existing QA benchmark,https://arxiv.org/abs/2010.03274,,Include,Medium
eQASC-Perturbed,2020,Explanation or proof generation,Error detection,General / elementary science,Text,Static,Evaluation benchmark,To verify,Error detection,Perturbed explanation chain,R5,Programmatic + human,Incorrect variants generated from correct chains,To code,Yes / base traces,Correct base explanations are human-annotated.,Yes,Programmatic perturbation of correct explanations,Fact/chain component; not always a uniquely localized step,Perturbation category / incorrect explanation,Partial,Human involvement applies to base explanations; check whether every corrupted instance was individually verified.,Detecting explanation errors,Errors may be synthetic,https://arxiv.org/abs/2010.03274,,Include,Medium
EntailmentBank,2021,Explanation or proof generation,Question answering,General / elementary science,Text,Static,Evaluation benchmark,"1,840 problems",Deduction,Entailment tree,R3,Dataset authors / annotators,Multi-step entailment trees built from facts and intermediate conclusions,Human review; details to code,Yes,Entailment trees and intermediate conclusions were manually constructed and reviewed.,No,N/A,N/A,N/A,N/A,N/A,Structured multi-step inference,"Normative proof structure, not necessarily a faithful cognitive trace",https://arxiv.org/abs/2104.08661,,Include,High
CasiMedicos-Arg,2024,Explanation or proof generation,Clinical argumentation,Clinical medicine,Text,Static,Evaluation benchmark,To verify,Diagnosis / argumentation,Argument structure,R3,Medical experts / annotators,Clinical cases represented through argument components,To code,Yes,Correct and incorrect diagnoses are accompanied by explanations written by medical doctors and annotated into argumentative structures.,Yes,Naturally occurring correct and incorrect diagnostic options/explanations,Diagnosis and argument-component level,Correct/incorrect diagnosis; argument roles/relations,Yes,Medical doctors authored explanations; argumentative annotations were human-produced and quality-controlled.,Structured medical argument analysis,Small or specialized domain coverage may limit generality,,,Include,High
MedExQA,2024,Explanation or proof generation,Medical question answering,Clinical medicine,Text,Static,Benchmark and training dataset,To verify,Medical reasoning,Multiple natural-language explanations,R2,Medical experts / annotators,Questions paired with explanation annotations,Expert validation; details to code,Yes / expert-reviewed,Medical explanations were created and validated with expert involvement; exact workflow should be coded from the paper.,To verify,Potentially includes alternative explanations,Whole explanation,To verify,To verify,Requires full-paper review.,Medical explanation generation and evaluation,Need to distinguish explanation correctness from faithfulness,https://aclanthology.org/2024.bionlp-1.14/,,Include,Medium
FormulaReasoning,2026,Mathematical and quantitative reasoning,Formula-grounded physics calculation,Physics,Text,Static,Evaluation benchmark,"5,324 bilingual questions","Formula selection, parameter mapping, unit-aware calculation",Formula structure and fine-grained parameter annotations,R3,Human annotators with LLM-assisted validation,"Manual annotations identify formulas, parameter names, symbols, values, and units; an external formula database provides grounding.",Manual curation + LLM-assisted validation,Yes,"Fine-grained annotations were manually curated, with LLMs used as an auxiliary validator.",No,N/A,N/A,N/A,N/A,N/A,Diagnosing formula-based numerical reasoning,It exposes formal ingredients but not necessarily a complete natural-language reasoning trace.,https://aclanthology.org/2026.findings-acl.1580/,,Include,High
RADAR,2026,Scientific data analysis,Explainable chart reasoning,Multidisciplinary chart data,Chart + text,Static,Evaluation benchmark,"1,000 charts; 2,000 QA pairs; 3,599 reasoning steps; 11,220 attribution annotations",Visual quantitative reasoning and attribution,Reasoning steps + evidence attribution,R3,Semi-automatic construction with annotation,"Builds question-answer pairs, reasoning steps, and chart-element attribution annotations.",Semi-automatic quality control; human role to verify,Partial / unclear,The paper reports semi-automatic construction; exact per-step human verification should be checked.,No dedicated incorrect traces,N/A,N/A,N/A,N/A,N/A,Reasoning-grounded attribution for scientific charts,Attribution correctness does not establish that a generated reasoning chain is faithful.,https://aclanthology.org/2026.findings-eacl.299/,,Include,High
DiscoveryBench,2024,Hypothesis discovery or verification,Data analysis,Multidisciplinary science,Data + text,Tool-using or agentic,Evaluation benchmark,264 real + 903 synthetic tasks,Evidence interpretation / discovery,Multi-stage discovery outputs,R3/R4,Derived from published work + synthetic generation,"Research goals, datasets, and metadata define tasks",To code,Mixed,Real tasks are derived from published research; synthetic tasks are programmatically generated and filtered.,No dedicated error labels,N/A,Workflow-stage outputs,N/A,N/A,N/A,Data-grounded scientific discovery,Some tasks are synthetic; process observability varies,https://arxiv.org/abs/2407.01725,,Likely include,Medium
LLM-SRBench,2025,Hypothesis discovery or verification,Equation discovery,Multidisciplinary science,Data + text,Static,Evaluation benchmark,239 problems,Induction / model discovery,Recovered equation / derivation status to verify,R0/R3,,Includes transformed and synthetic equation-discovery tasks,To code,Programmatic / source-derived,Ground-truth equations permit automatic verification; human review details should be checked.,No dedicated errors,N/A,Equation/result level,N/A,N/A,N/A,Scientific law and equation discovery,May evaluate final equations more than explicit reasoning,https://arxiv.org/abs/2504.10415,,Borderline,Medium
SDE,2025/2026,Hypothesis discovery or verification,Experiment design,Biology / chemistry / materials / physics,Mixed,Static or staged,Evaluation benchmark,"1,125 questions",Hypothesis generation / experiment design / revision,Project and scenario structure,R3/R4/R5,Experts,Project → scenario → question hierarchy,Expert vetting,Yes / expert-vetted,Project/scenario/question structures are expert-vetted.,Revision/alternatives may appear,Scenario-based alternatives or evolving hypotheses,Question or project-stage level,Task-specific,Yes / partial,Experts vet tasks; explicit error-label verification should be checked.,Project-level scientific reasoning,Questions may still decompose discovery into static subtasks,https://arxiv.org/abs/2512.15567,,Likely include,Medium
ProjectionBench,2026,Hypothesis discovery or verification,Hypothesis revision,Materials science,Scientific literature + text,Staged / iterative,Evaluation benchmark,45 recent papers,Hypothesis generation / revision,Progressively revised hypotheses,R5,Experts / literature-derived,Evidence is progressively revealed across stages,To code,Yes / literature-grounded,Hypotheses are evaluated across progressively revealed evidence from recent materials-science papers.,"Yes, through revision",Earlier hypotheses become unsupported as evidence is revealed,Hypothesis version / iteration,Ranking or revision across stages,Yes / partial,Human/expert construction is reported; exact checking of each revision should be verified.,Iterative scientific reasoning,Small and domain-specific,,,Include,Medium
ResearchBench,2026,Hypothesis discovery or verification,                                             ,12 disciplines,Scientific literature + text,Static,Evaluation benchmark,To verify,Abduction / hypothesis generation,Hypothesis + ranking structure,R3/R4,Experts / literature-derived,"Inspiration retrieval, hypothesis composition, and ranking",To code,Yes / literature-grounded,Hypotheses and rankings are derived from papers with expert/literature grounding.,Alternative hypotheses,Generated or candidate alternatives,Hypothesis-level,Plausibility/ranking,Partial,"Alternatives are evaluated, but not necessarily labeled as reasoning errors.",Scientific hypothesis generation,Evaluation of novelty and plausibility is intrinsically difficult,https://aclanthology.org/2026.findings-acl.644/,,Likely include,Medium
SciR,2026,Hypothesis discovery or verification,Controlled inference,Biology,Text,Static,Evaluation benchmark,To verify,Deduction / induction / causal abduction,Formal structure + rendered reasoning instance,R3,Programmatic + human,"Tasks generated from deduction trees, rule hypotheses, and causal graphs",Mechanistically verifiable by construction,By construction,"Formal deduction trees, rule hypotheses, and causal graphs make the intended reasoning mechanically verifiable.",Potentially generated,Controlled perturbation/formal generation,"Rule, edge, or inference level",Task-dependent formal correctness,Not necessarily,Correctness is largely guaranteed programmatically rather than through human review.,Controllable inference evaluation,Synthetic/formal construction may limit ecological validity,https://arxiv.org/abs/2606.13020,,Include,High
SciCode,2024,Scientific coding or workflow execution,Quantitative problem solving,Physics / math / materials / biology / chemistry,Text + code,Executable,Evaluation benchmark,338 subproblems from 80 problems,Quantitative / mechanistic reasoning,Code / executable solution,R4,Scientists,Scientist-curated research problems requiring code,Execution-based + expert curation,Yes,Problems and scientific coding solutions are curated by scientists; executable code provides automatic checking.,No labeled reasoning errors,N/A,Subproblem/code execution,Execution tests,N/A,N/A,Scientific reasoning through computation,Executable correctness does not guarantee scientific validity,https://arxiv.org/abs/2407.13168,,Likely include,High
ScienceAgentBench,2025,Scientific coding or workflow execution,Data analysis,Multidisciplinary science,Text + code + data,Agentic / tool-using,Evaluation benchmark,102 tasks from 44 papers,Workflow planning / data analysis,Executable program / workflow,R4,Derived from scientific papers,Tasks require self-contained Python programs,Execution-based; details to code,Source-derived + execution-checked,"Tasks are reconstructed from published scientific papers; programs are evaluated through execution, with human curation of task specifications.",No explicit error labels,Agent failures,Task/program level,Execution and output checks,No stepwise human labels,Failures are observed through execution rather than human-labeled reasoning steps.,Evaluating scientific agents,Successful execution may hide invalid scientific choices,,https://huggingface.co/datasets/osunlp/ScienceAgentBench,Likely include,High
LABBench2,2026,Scientific coding or workflow execution,Biology research tasks,Biology,Text + figures + tables + sequences,Mixed / tool-using,Benchmark suite,"1,912 tasks",Evidence interpretation / protocol reasoning,Task-specific outputs; traces to verify,R0/R2/R4,,Realistic biology research functions,To code,Mixed / expert-designed,Task families are designed around realistic biology research functions; validation varies by task.,To verify,Task-specific,Task-specific,Task-specific,To verify,Requires task-family-level review.,Biological research utility evaluation,Process supervision may vary strongly by task family,,https://huggingface.co/datasets/EdisonScientific/labbench2,Borderline,Low
MEDEC,2025,Medical error detection and correction,Clinical-note validation,Clinical medicine,Text,Static,Evaluation benchmark,"3,848 clinical texts",Clinical consistency and safety reasoning,Erroneous clinical text + correction,R5,Human / clinical-data construction (verify exact annotators),Clinical notes are paired with inserted or identified medical errors across five categories.,Human review reported; exact clinical expertise to verify,N/A,The reasoning target is error detection/correction rather than a reference reasoning chain.,Yes,Natural and/or constructed medical errors,Clinical statement / note segment,"Diagnosis, management, treatment, pharmacotherapy, causal organism",Yes / partial,Human-created or reviewed benchmark; verify per-example clinical adjudication.,Medical-text error detection and correction,Errors are localized in clinical prose rather than in explicit step-by-step reasoning.,https://aclanthology.org/2025.findings-acl.1159/,https://github.com/abachaa/MEDEC,Include,High
MedErrBench,2026,Medical error detection and correction,Multilingual clinical safety,Clinical medicine,Text,Static,Evaluation benchmark,"Scale to verify; English, Arabic, and Chinese","Clinical factuality, localization, and correction",Erroneous medical text + localized correction,R5,Clinical experts,Natural medical cases are annotated and reviewed under clinician guidance using a ten-type taxonomy.,Clinical expert annotation and review,N/A,"The target is error detection/correction, not a gold reasoning trace.",Yes,Natural medical errors,Localized text span / error instance,Ten medical error types,Yes,Cases were annotated and reviewed by domain experts.,"Multilingual medical error detection, localization, and correction",Clinical prose errors are not always equivalent to step-level reasoning errors.,https://aclanthology.org/2026.findings-acl.573/,https://github.com/congboma/MedErrBench,Include,High
ProcessBench,2025,Error detection,Mathematical reasoning verification,Mathematics,Text,Static,Evaluation benchmark,"3,400 test cases",Stepwise mathematical verification,Step-by-step solution with first error location,R5,Frontier model outputs + human experts,Solutions are collected and the earliest incorrect step is annotated by experts.,Human expert annotation,N/A,The benchmark centers on verifying model-generated reasoning.,Yes,Naturally occurring model reasoning errors,Step-level; earliest-error index,Correct trace or first erroneous step,Yes,Human experts annotate error locations.,Process-level verification and critic evaluation,"Mathematics is adjacent to, but not identical with, empirical scientific reasoning.",https://aclanthology.org/2025.acl-long.50/,,Borderline,High
Hard2Verify,2026,Error detection,Frontier proof verification,Mathematics,Text,Static,Evaluation benchmark,Human-annotated; 500+ annotation hours (instance count to verify),Open-ended proof verification,Proof with step labels / first-error annotation,R5,Frontier LLMs + human annotators,Recent open-ended math proofs are annotated for step correctness and first-error location.,Human annotation,N/A,The benchmark evaluates erroneous and correct proofs.,Yes,Naturally occurring LLM proof errors,Step-level and first-error localization,Step correctness / sufficient support,Yes,Produced with more than 500 hours of human annotation.,Frontier step-level verifier evaluation,Focused on advanced mathematics rather than broader scientific inquiry.,https://aclanthology.org/2026.acl-long.1031/,,Borderline,High
